Pokémon,Gen,Category,Form Of,Shiny Exists?,RNG Shiny Hunt Possible?,Currently Huntable?,Bucket(A-E),Games / Platforms,Hunting Methods,Odds,Shiny Charm?,Pokémon GO Method,HOME Guaranteed Shiny?,Event-Only Shiny?,Notable Forms,Notes
Latios,III,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Legends: Z-A (Mega Dimension DLC, 2026), Omega Ruby/Alpha Sapphire, Pokémon GO, Ruby/Sapphire/Emerald, Scarlet/Violet (Indigo Disk), Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon","Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Legends: Z-A (Mega Dimension DLC, 2026): 5-star Hyperspace Distortion (run-back reroll) | Ruby/Sapphire/Emerald: Roaming / Southern Island static | Scarlet/Violet (Indigo Disk): Static [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid)","Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Legends: Z-A (Mega Dimension DLC, 2026) ~1/4096 base->up to ~1/585 | Ruby/Sapphire/Emerald 1/8192 | Pokémon GO ~1/20",Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/4096 -> 1/1365); Yes; stacks with Sparkling Power Lv3 donut (-> ~1/585); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since Apr 2019); ~1/20; rotates,No,No,—,NEW 2026: shiny-huntable in Legends Z-A Mega Dimension Hyperspace Distortions.
Kyogre,III,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Pokémon GO, Ruby/Sapphire/Emerald, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Ruby/Sapphire/Emerald: Story static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Ruby/Sapphire/Emerald 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny 2019); ~1/20; rotates,No,No,—,ORAS weather-trio encounter is shiny-locked; Gen3 originals + DA/USUM/BDSP/GO are huntable.
Groudon,III,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Pokémon GO, Ruby/Sapphire/Emerald, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Ruby/Sapphire/Emerald: Story static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Ruby/Sapphire/Emerald 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since Jan 2019); ~1/20; rotates,No,No,—,ORAS encounter shiny-locked; huntable via DA/USUM/BDSP/GO + Gen3 originals.
Rayquaza,III,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Ruby/Sapphire/Emerald, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Ruby/Sapphire/Emerald: Sky Pillar static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Ruby/Sapphire/Emerald 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny 2019); Mega Rayquaza shiny; ~1/20,No,No,—,"Not in BDSP. ORAS story encounter shiny-locked. Huntable via DA, USUM, GO, Gen3."
Jirachi,III,Mythical,—,Yes,Yes,No (historical only),"E (hunt, historical only)","Colosseum Bonus Disc (WISHMKR), Pokémon GO",Colosseum Bonus Disc (WISHMKR): Distribution encounter (soft-reset) | Pokémon GO: Masterwork Research 'Wish Granted' (guaranteed shiny reward),Colosseum Bonus Disc (WISHMKR) 1/8192 | Pokémon GO 100% (guaranteed),No charm pre-Gen6,Shiny via 'Wish Granted' Masterwork (guaranteed). Not RNG in GO.,No,No,—,Mythical with a real (historical) RNG hunt via the WISHMKR bonus disc. No longer accessible.
Deoxys,III,Mythical,—,Yes,Yes,Yes,"A (true hunt, current)","FireRed/LeafGreen/Emerald, Omega Ruby/Alpha Sapphire, Pokémon GO",FireRed/LeafGreen/Emerald: Birth Island static (soft-reset) | Omega Ruby/Alpha Sapphire: Sky Pillar static [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),FireRed/LeafGreen/Emerald 1/8192 | Pokémon GO ~1/20,No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary/mythical raids — all 4 formes shiny (RNG); ~1/20,No,No,This row is the Normal Forme. Attack / Defense / Speed Formes each have their OWN row (each a separate GO shiny with its own release date),Officially Mythical but treated as a raid boss in GO. Genuine RNG hunt via GO raids and historically via Birth Island.
Uxie,IV,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Diamond/Pearl/Platinum, Omega Ruby/Alpha Sapphire, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Diamond/Pearl/Platinum: Static (soft-reset) | Brilliant Diamond/Shining Pearl: Post-game lake static | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Diamond/Pearl/Platinum 1/8192 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes (1/4096 -> 1/1365); No charm pre-Gen6; No effect (BDSP); n/a (GO has no Shiny Charm),Legendary raids (regional; shiny since Sep 14 2021); ~1/20,No,No,—,Lake trio. Mesprit roams (harder). Regional GO raid availability.
Mesprit,IV,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Diamond/Pearl/Platinum, Omega Ruby/Alpha Sapphire, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Diamond/Pearl/Platinum: Roaming | Brilliant Diamond/Shining Pearl: Post-game lake roamer | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Diamond/Pearl/Platinum 1/8192 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes (1/4096 -> 1/1365); No charm pre-Gen6; No effect (BDSP); n/a (GO has no Shiny Charm),Legendary raids (regional; shiny since Sep 14 2021); ~1/20,No,No,—,Lake trio. Mesprit roams (harder). Regional GO raid availability.
Azelf,IV,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Diamond/Pearl/Platinum, Omega Ruby/Alpha Sapphire, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Diamond/Pearl/Platinum: Static (soft-reset) | Brilliant Diamond/Shining Pearl: Post-game lake static | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Diamond/Pearl/Platinum 1/8192 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes (1/4096 -> 1/1365); No charm pre-Gen6; No effect (BDSP); n/a (GO has no Shiny Charm),Legendary raids (regional; shiny since Sep 14 2021); ~1/20,No,No,—,Lake trio. Mesprit roams (harder). Regional GO raid availability.
Dialga,IV,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond, Brilliant Diamond/Shining Pearl, Diamond/Pearl/Platinum, Legends: Arceus, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Diamond/Pearl/Platinum: Spear Pillar static (soft-reset) | Brilliant Diamond: Story static [LOCKED] | Legends: Arceus: Origin Forme story static [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Diamond/Pearl/Platinum 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (Altered + Origin shiny); ~1/20; rotates,No,No,Origin Forme — see its own row (separate GO shiny),"Story catches locked (BDSP/PLA); huntable via Ramanas Park, DA, USUM, GO."
Palkia,IV,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Diamond/Pearl/Platinum, Legends: Arceus, Pokémon GO, Shining Pearl, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Diamond/Pearl/Platinum: Spear Pillar static (soft-reset) | Shining Pearl: Story static [LOCKED] | Legends: Arceus: Origin Forme story static [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Diamond/Pearl/Platinum 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (Altered + Origin shiny); ~1/20; rotates,No,No,Origin Forme — see its own row (separate GO shiny),"Story catches locked; huntable via Ramanas Park, DA, USUM, GO."
Heatran,IV,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Omega Ruby/Alpha Sapphire, Platinum/HGSS, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Platinum/HGSS: Stark Mountain static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Platinum/HGSS 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes (1/4096 -> 1/1365); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since Jan 2020); ~1/20; rotates,No,No,—,
Regigigas,IV,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Platinum/HGSS, Pokémon GO",Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas/Snowpoint static (soft-reset) | Platinum/HGSS: Snowpoint Temple static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Platinum/HGSS 1/8192 | Pokémon GO ~1/20,No effect (BDSP Charm boosts Masuda eggs only); No effect (BDSP); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary/Elite raids (shiny since Jun 2021); ~1/20,No,No,—,Not in Dynamax Adventures or USUM wormholes. Huntable via BDSP soft-reset and GO.
Giratina,IV,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Legends: Arceus, Platinum/HGSS, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Platinum/HGSS: Turnback Cave static (soft-reset) | Legends: Arceus: Origin Forme story static [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Platinum/HGSS 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (Altered + Origin shiny); ~1/20; rotates,No,No,This row is the Altered Forme. Origin Forme — see its own row (separate GO shiny),Ramanas Park (Distortion Slate) is huntable. PLA Origin locked.
Cresselia,IV,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Diamond/Pearl/Platinum, Omega Ruby/Alpha Sapphire, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Brilliant Diamond/Shining Pearl: Ramanas Park slate static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Diamond/Pearl/Platinum: Roaming | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Brilliant Diamond/Shining Pearl 1/4096->1/4096 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Diamond/Pearl/Platinum 1/8192 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); No effect (BDSP Charm boosts Masuda eggs only); Yes (1/4096 -> 1/1365); No charm pre-Gen6; n/a (GO has no Shiny Charm),Legendary raids (shiny since May 2019); ~1/20; rotates,No,No,—,
Phione,IV,Mythical,—,Yes,Yes,Yes,"A (true hunt, current)",BDSP / any breeding game,"BDSP / any breeding game: Breeding (Manaphy/Phione x Ditto), Masuda method",BDSP / any breeding game 1/4096->1/1365,Yes (BDSP: Masuda + Charm applies to eggs),Not in Pokémon GO.,No,No,—,"Uniquely, Phione is bred (not caught) and follows ordinary shiny/Masuda odds — a genuine, repeatable RNG hunt."
Manaphy,IV,Mythical,—,Yes,Yes,No (historical only),"E (hunt, historical only)",Pokémon Ranger -> Gen 4,Pokémon Ranger -> Gen 4: Egg hatch after trade (PID vs TSV RNG),Pokémon Ranger -> Gen 4 1/8192,No charm pre-Gen6,Base Manaphy via research; shiny NOT released in GO.,No,No,—,The classic 'Manaphy egg' hunt. No current access (Pokémon Ranger connectivity discontinued). Manaphy itself cannot be bred (produces Phione).
Darkrai,IV,Mythical,—,Yes,Yes,Yes,"A (true hunt, current)","Diamond/Pearl/Platinum, Pokémon GO",Diamond/Pearl/Platinum: Newmoon Island static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Diamond/Pearl/Platinum 1/8192 | Pokémon GO ~1/20,No charm pre-Gen6; n/a (GO has no Shiny Charm),5-star raids (shiny since Mar 2020) — RNG; ~1/20,No,No,—,Mythical that IS a true RNG hunt (GO raids now; Gen4 Newmoon Island historically).
Shaymin,IV,Mythical,—,Yes,Yes,No (historical only),"E (hunt, historical only)","Diamond/Pearl/Platinum, Pokémon GO",Diamond/Pearl/Platinum: Flower Paradise static (soft-reset) | Pokémon GO: Masterwork Research 'Glimmers of Gratitude' (Land Forme) (guaranteed shiny reward),Diamond/Pearl/Platinum 1/8192 | Pokémon GO 100% (guaranteed),No charm pre-Gen6,Shiny (Land) via Masterwork (guaranteed). Not RNG in GO.,No,No,"Land Forme — shiny (GO Masterwork, guaranteed). Sky Forme — shiny status unconfirmed",Historical Gen4 RNG hunt (Flower Paradise) no longer accessible; GO shiny is guaranteed-only.
Arceus,IV,Mythical,—,Yes,Yes,Yes,"A (true hunt, current)","Brilliant Diamond/Shining Pearl, Events (Toys R Us, etc.), Legends: Arceus","Brilliant Diamond/Shining Pearl: Hall of Origin static (soft-reset) | Legends: Arceus: Story static [LOCKED] | Events (Toys R Us, etc.): Distribution [LOCKED]",Brilliant Diamond/Shining Pearl 1/4096->1/4096,No effect (BDSP Charm boosts Masuda eggs only),Not in Pokémon GO.,No,No,—,"Shiny Arceus IS legitimately huntable — the BDSP Hall of Origin encounter (Azure Flute) is not shiny-locked, so you can soft-reset for it (flat 1/4096; BDSP Shiny Charm does not help). PLA and all distributions are locked."
Victini,V,Mythical,—,No,No,No,D (shiny unavailable),Black/White + events,Black/White + events: Liberty Garden static / distribution [LOCKED],n/a,n/a,"In GO (research), but shiny NOT released.",No,No,—,No legitimate shiny Victini exists anywhere as of Aug 2026. SHINY UNAVAILABLE.
Cobalion,V,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Black/White/B2W2, Legends: Z-A (Mega Dimension DLC, 2026), Omega Ruby/Alpha Sapphire, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon","Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Legends: Z-A (Mega Dimension DLC, 2026): 5-star Hyperspace Distortion (run-back reroll) | Black/White/B2W2: Static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid)","Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Legends: Z-A (Mega Dimension DLC, 2026) ~1/4096 base->up to ~1/585 | Black/White/B2W2 1/8192->~1/2731 | Pokémon GO ~1/20",Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/4096 -> 1/1365); Yes; stacks with Sparkling Power Lv3 donut (-> ~1/585); Yes (Gen5 charm); n/a (GO has no Shiny Charm),Legendary raids (shiny since Mar 17 2020); ~1/20; rotates,No,No,—,Swords of Justice. NEW 2026: shiny-huntable in Legends Z-A Mega Dimension Hyperspace Distortions.
Terrakion,V,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Black/White/B2W2, Legends: Z-A (Mega Dimension DLC, 2026), Omega Ruby/Alpha Sapphire, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon","Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Legends: Z-A (Mega Dimension DLC, 2026): 5-star Hyperspace Distortion (run-back reroll) | Black/White/B2W2: Static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid)","Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Legends: Z-A (Mega Dimension DLC, 2026) ~1/4096 base->up to ~1/585 | Black/White/B2W2 1/8192->~1/2731 | Pokémon GO ~1/20",Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/4096 -> 1/1365); Yes; stacks with Sparkling Power Lv3 donut (-> ~1/585); Yes (Gen5 charm); n/a (GO has no Shiny Charm),Legendary raids (shiny since May 19 2020); ~1/20; rotates,No,No,—,Swords of Justice. NEW 2026: shiny-huntable in Legends Z-A Mega Dimension Hyperspace Distortions.
Virizion,V,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Black/White/B2W2, Legends: Z-A (Mega Dimension DLC, 2026), Omega Ruby/Alpha Sapphire, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon","Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Omega Ruby/Alpha Sapphire: Mirage Spot static / Soaring (soft-reset) | Legends: Z-A (Mega Dimension DLC, 2026): 5-star Hyperspace Distortion (run-back reroll) | Black/White/B2W2: Static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid)","Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Omega Ruby/Alpha Sapphire 1/4096->1/1365 | Legends: Z-A (Mega Dimension DLC, 2026) ~1/4096 base->up to ~1/585 | Black/White/B2W2 1/8192->~1/2731 | Pokémon GO ~1/20",Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/4096 -> 1/1365); Yes; stacks with Sparkling Power Lv3 donut (-> ~1/585); Yes (Gen5 charm); n/a (GO has no Shiny Charm),Legendary raids (shiny since May 12 2020); ~1/20; rotates,No,No,—,Swords of Justice. NEW 2026: shiny-huntable in Legends Z-A Mega Dimension Hyperspace Distortions.
Tornadus,V,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Black2/White2, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Roaming (soft-reset) | Black2/White2: Static | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/4096->1/1365 | Black2/White2 1/8192->~1/2731 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes; n/a (GO has no Shiny Charm),Legendary raids (Incarnate + Therian shiny); ~1/20,No,No,This row is the Incarnate Forme. Therian Forme — see its own row (separate GO shiny),"Forces of Nature. Huntable via SwSh roamer, DA, USUM, GO."
Thundurus,V,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Black2/White2, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Roaming (soft-reset) | Black2/White2: Static | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/4096->1/1365 | Black2/White2 1/8192->~1/2731 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes; n/a (GO has no Shiny Charm),Legendary raids (Incarnate + Therian shiny); ~1/20,No,No,This row is the Incarnate Forme. Therian Forme — see its own row (separate GO shiny),Forces of Nature.
